Job Outlook for JB,Est.,Pipeline,Estimating Status,Bid Due Date,Project Name,Owner,Architect,Pipeline Probability,Approx. Start Date,# of Months,Approx. Cost,Approx. Finish,Project City,Project State,Market Type,Notes/Description,BD/PM/AM,ITB Date,Lead Estimator,Estimator,Est. Asst.,PX/PM,Estimate Type,RFI Due Date,Schedule,Factored $,Factored $ per month,Duration,2025 % Complete,Days in 2025,$ in 2025,Days in 2026,$ in 2026,Days in 2027,$ in 2027,Notes for JB Outlook
TRUE,TRUE,TRUE,5 Arriving,Pending - Dec,Mountainside Fitness #23 - Vistancia,Mountainside Fitness,Adaptive Architects,35%,01/12/26,9,"$9,000,000",10/12/26,Surprise,Arizona,Sports/Fitness,"Full site, bldg., TI",Adam,08/20/21,,,,NR,HB-3,,Done,"$3,150,000","$350,000",274,0%,0,$0,274,"3,150,000",0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending - Dec,Mountainside Fitness - Twin Peaks,Mountainside Fitness,Adaptive Architects,35%,03/02/26,9,"$9,000,000",12/02/26,Phoenix,Arizona,Sports/Fitness,"Full site, bldg., TI",Adam,08/20/21,,,,NR,HB-3,,Done,"$3,150,000","$350,000",276,0%,0,$0,276,"3,150,000",0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending - Dec,Mountainside Fitness - Vail (Tucson),Mountainside Fitness,Adaptive Architects,35%,03/02/26,9,"$9,000,000",12/02/26,Tucson,Arizona,Sports/Fitness,"Full site, bldg., TI",Adam,08/20/21,,,,NR,HB-3,,Done,"$3,150,000","$350,000",276,0%,0,$0,276,"3,150,000",0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending,Rancho Vistoso - Site & Sprouts & Shops,WM Grace,,75%,05/01/26,12,"$17,309,485",05/01/27,Tucson,Arizona,Site,"330k SF Site, Utilities",Brian,,TS,TS,AT,,Con.,,,"$12,982,114","$1,081,843",366,0%,0,$0,246,"8,725,683",120,"$4,256,431",
,TRUE,,5 Arriving,Pending,San Tan Village,Moreno Companies - Bob Crum,,1%,02/01/26,10,$0,12/01/26,Gilbert,Arizona,"Retail
Site","21 Acres - 14 buildings, Cabela's Site/Parking",Mike,,,,,,,,,$0,$0,304,0%,0,$0,304,0,0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending,Sangria & Combs,W Holdings - Seth Keeler,,5%,11/03/25,10,"$1,901,535",09/03/26,Queen Creek,Arizona,"Retail
Site","Site Package (3) Pads, Utility Sub, Drive Thru",Brian,,CH,CH,??,,Con.,,,"$95,077","$9,508",305,19%,58,"$18,080",247,"76,997",0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending,Sprouts - NEC Alma School & Southern,"Hinkson, Company LLC",,20%,01/01/26,7,"$6,670,470",08/01/26,Tempe,Arizona,Grocery TI,Big Lots - Change to Sprouts,Brian,,CH,CH,N/A,,HB,,,"$1,334,094","$190,585",213,0%,0,$0,213,"1,334,094",0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending,The Marshall - 2.0 (The Spence),Aptitude,,15%,03/02/26,20,"$36,902,365",11/02/27,Tempe,Arizona,Multifamily,"Student Housing, 174K sf, 7-story, 265 beds,",Brian,,PS,KS,MB,,Con.,,,"$5,535,355","$276,768",611,0%,0,$0,306,"2,772,207",305,"$2,763,148",
,TRUE,TRUE,5 Arriving,Pending,The Ranch - Big House,Indicap,,1%,04/01/26,14,"$60,095,100",06/01/27,Gilbert,Arizona,Multifamily,"(2-Story Buildings) 15 acres - Amenity Building, pool",Melinda,,PS,PS,MB,,Con.,,,"$600,951","$42,925",427,0%,0,$0,276,"388,437",151,"$212,514",
,TRUE,TRUE,5 Arriving,Pending,TSMC - Hotels/Retail - Update,Common Bond Development,,5%,08/01/26,18,"$49,773,735",02/01/28,Phoenix,Arizona,Hospitality,250 Key Dural branded Courtyard/Residence Inn,Melinda,,PS,JH,N/A,,Con.,,,"$2,488,687","$138,260",550,0%,0,$0,550,"2,488,687",0,$0,
